====================
Actions For Alatreon
Group:1 ID:116 Name:ACTION::SHORT_STEP_HEAD_BUTT
Group:1 ID:117 Name:ACTION::RUSH_ONCE
Group:1 ID:118 Name:ACTION::RUSH_ONCE2
Group:1 ID:119 Name:ACTION::RUSH_ONCE_TO_FLY
Group:1 ID:120 Name:ACTION::RUSH_ONCE_TO_FLY2
Group:1 ID:121 Name:ACTION::RUSH_TWICE_START
Group:1 ID:122 Name:ACTION::RUSH_TWICE_TURN
Group:1 ID:123 Name:ACTION::RUSH_TWICE_START2
Group:1 ID:124 Name:ACTION::RUSH_TWICE_TURN2
Group:1 ID:125 Name:ACTION::RUSH_FLY
Group:1 ID:126 Name:ACTION::RUSH_FLY2
Group:1 ID:127 Name:ACTION::RUSH_FLY_TO_GROUND
Group:1 ID:128 Name:ACTION::BACK_STEP_GLIDE_ATTACK
Group:1 ID:129 Name:ACTION::PRESS_ATTACK
Group:1 ID:130 Name:ACTION::DRAGON_PUNCH_START
Group:1 ID:131 Name:ACTION::DRAGON_PUNCH_LOOP
Group:1 ID:132 Name:ACTION::DRAGON_PUNCH_END
Group:1 ID:133 Name:ACTION::DRAGON_NOVA_GROUND
Group:1 ID:134 Name:ACTION::DRAGON_NOVA_FLY
Group:1 ID:135 Name:ACTION::DRAGON_NOVA_FLY_MAIN_L
Group:1 ID:136 Name:ACTION::DRAGON_NOVA_FLY_MAIN_R
Group:1 ID:137 Name:ACTION::FIRE_BREATH_GROUND
Group:1 ID:138 Name:ACTION::FIRE_BREATH_FLY
Group:1 ID:139 Name:ACTION::BACK_STEP_FIRE_BREATH_TO_GROUND
Group:1 ID:140 Name:ACTION::BACK_STEP_FIRE_BREATH_TO_FLY
Group:1 ID:141 Name:ACTION::BACK_STEP_FIRE_BREATH_TO_GROUND_NOBLEND
Group:1 ID:142 Name:ACTION::BACK_STEP_FIRE_BREATH_TO_FLY_NOBLEND
Group:1 ID:143 Name:ACTION::UNDER_FIRE_BREATH_TO_GROUND
Group:1 ID:144 Name:ACTION::UNDER_FIRE_BREATH_TO_FLY
Group:1 ID:145 Name:ACTION::TRIPLE_FIRE_BREATH
Group:1 ID:146 Name:ACTION::SWEEP_FIRE_LASER_TURN
Group:1 ID:147 Name:ACTION::SWEEP_FIRE_LASER_ATTACK
Group:1 ID:148 Name:ACTION::STRAIGHT_FIRE_LASER_GROUND
Group:1 ID:149 Name:ACTION::STRAIGHT_FIRE_LASER_FLY
Group:1 ID:150 Name:ACTION::WINDING_FIRE_LASER
Group:1 ID:151 Name:ACTION::ROTATE_FIRE_LASER
Group:1 ID:152 Name:ACTION::BIG_FIRE_BALL
Group:1 ID:153 Name:ACTION::HOT_BLAST
Group:1 ID:154 Name:ACTION::ICE_BREATH_GROUND
Group:1 ID:155 Name:ACTION::ICE_BREATH_FLY
Group:1 ID:156 Name:ACTION::UNDER_FREEZE_BREATH_TO_GROUND
Group:1 ID:157 Name:ACTION::UNDER_FREEZE_BREATH_TO_FLY
Group:1 ID:158 Name:ACTION::UNDER_FREEZE_BREATH_G2G
Group:1 ID:159 Name:ACTION::FREEZE_LASER
Group:1 ID:160 Name:ACTION::ICE_BREATH_3WAY_GROUND
Group:1 ID:161 Name:ACTION::ICE_BREATH_3WAY_FLY
Group:1 ID:162 Name:ACTION::ROUND_ICE_BREATH
Group:1 ID:163 Name:ACTION::ICE_MACHINEGUN_BREATH
Group:1 ID:164 Name:ACTION::ICE_METEOR
Group:1 ID:165 Name:ACTION::AROUND_THUNDER
Group:1 ID:166 Name:ACTION::AROUND_THUNDER2
Group:1 ID:167 Name:ACTION::WAVE_THUNDER
Group:1 ID:168 Name:ACTION::WAVE_THUNDER_MAIN_L
Group:1 ID:169 Name:ACTION::WAVE_THUNDER_MAIN_R
Group:1 ID:170 Name:ACTION::NEW_HOMING_THUNDER_START
Group:1 ID:171 Name:ACTION::NEW_HOMING_THUNDER_VERTICAL
Group:1 ID:172 Name:ACTION::NEW_HOMING_THUNDER_HORIZONTAL
Group:1 ID:173 Name:ACTION::NEW_HOMING_THUNDER_VERTICAL_LAST
Group:1 ID:174 Name:ACTION::NEW_HOMING_THUNDER_HORIZONTAL_LAST
Group:1 ID:175 Name:ACTION::STRAIGHT_WATER_LASER
Group:1 ID:176 Name:ACTION::WINDING_WATER_LASER
Group:1 ID:177 Name:ACTION::ROTATE_WATER_LASER
Group:1 ID:178 Name:ACTION::WATER_BREATH
Group:1 ID:179 Name:ACTION::WATER_BREATH_3WAY
Group:1 ID:180 Name:ACTION::WATER_MACHINEGUN_BREATH
Group:1 ID:181 Name:ACTION::ELEMENTAL_EXPLOSION_TO_FIRE
Group:1 ID:182 Name:ACTION::ELEMENTAL_EXPLOSION_TO_ICE
